feature	score_4
ult_tsa.imt_cc_average_left	220.48
ult_tsa.imt_cc_average_right	218.93
ult_tsa.imt_cc_max_left	218.73
esa_obi.waist	218.41
ult_tsa.imt_cc_max_right	218.06
ana_fis.menopause	216.21
esa_obi.bmi_calc	214.83
ana_fis.menarche	213.31
esa_obi.weight	212.06
esa_obi.height	210.91
lab.tg	210.6
lab.calculated_ldl	209.6
lab.glucose	208.5
ana_fis.induced_menopause	207.93
ana_fis.smoking_recod	207.83
ana_fis.b_wine	205.79
esa_obi.waist_hips_calc	205.18
lab.apob	204.97
ana_fis.pregnancies_n	203.37
lab.hdl	202.22
ana.education	200.98
esa_obi.hips	200.73
lab.apoa1	199.4
esa_obi.dbp	198.28
esa_obi.heart_rate	197.69
ana_far.ht_atc1	195.2
ana_far.ht_pa1	195
ana_fis.physical_activity_hours	193.62
ana_pat.self_dyslipidaemia	193.08
ana_fis.alcohols	191.97
ana_far.ot_atc1	191.9
ana_fis.physical_activity_intensity	189.98
ana_pat.hypertension_self	188.18
ana_far.antihypertensive	187.01
ana_fis.physical_activity	186.66
ana_far.dys_pa1	185.64
ana_far.ns_drugs	185.53
ult_tsa.right_plaque_yn	183.36
esa_obi.right_corneal_arch	182.85
ana_far.dys_atc1	182.21
esa_obi.left_corneal_arch	181.64
ana_far.att_atc1	179.95
ana_far.att_pa1	178.73
ana_pat.hepatopathies_yn	176.6
ult_tsa.left_plaque_yn	176.44
ana_pat.self_obesity	176.03
ana_far.statins	175.61
ana_far.antiaggregants	175.23
ana_far.ot_atc2	172.69
esa_obi.thyroid_appearance	171.74
ana_fis.b_spirits	171.6
ana_far.ht_atc2	169.85
ana_far.ht_pa2	169.72
ana_fis.b_beer	168.43
ana_pat.tia_profile	167.27
ana_pat.nephropathies_profile	163.92
esa_obi.thyroid_nodules	162.46
ana_far.ot_atc3	162.11
esa_obi.abdomen	160.02
ana_pat.ns_neoplasm	160
ana_pat.peripheral_arteriopathy	159.8
ana_pat.thyroid_function	159.43
ana_pat.remote_peripheral_arteriopathy	159.17
ana_pat.diabetes2_self	158.6
esa_obi.cute_xanthelasms	157.92
ana_pat.ima_profile	154.9
