feature	score_13
ult_tsa.imt_cc_average_left	220.43
ult_tsa.imt_cc_average_right	219.85
ult_tsa.imt_cc_max_right	218.75
ult_tsa.imt_cc_max_left	218.75
esa_obi.waist	216.61
esa_obi.bmi_calc	216.48
lab.tg	213.86
lab.calculated_ldl	213.84
esa_obi.weight	213.07
lab.glucose	212.65
esa_obi.height	211.69
lab.hdl	209.67
lab.apob	208.91
ana_fis.menopause	208.22
lab.apoa1	207.11
esa_obi.heart_rate	205.93
ana_fis.menarche	204.92
esa_obi.waist_hips_calc	203.88
ana_fis.b_wine	202.85
esa_obi.dbp	201.15
ana_fis.smoking_recod	201.14
esa_obi.hips	200.3
ana.education	199.16
ana_fis.pregnancies_n	198.52
ana_fis.induced_menopause	197.21
ana_far.ot_atc1	195.89
ana_fis.physical_activity_hours	195.11
ana_fis.alcohols	193.61
ana_pat.self_dyslipidaemia	192.44
ana_far.ht_atc1	191.84
ana_far.ht_pa1	191.38
ana_fis.physical_activity_intensity	190.78
ana_fis.physical_activity	189
ana_far.ns_drugs	188
ana_pat.hypertension_self	185.5
ult_tsa.right_plaque_yn	185.31
esa_obi.thyroid_appearance	184.45
ana_far.ot_atc2	184.13
esa_obi.right_corneal_arch	182.92
esa_obi.left_corneal_arch	182
ana_far.antihypertensive	181.82
ana_far.dys_pa1	181.26
ana_far.dys_atc1	179.21
ana_pat.self_obesity	178.21
ult_tsa.left_plaque_yn	176.91
ana_pat.hepatopathies_yn	175.24
ana_far.att_pa1	174.19
ana_far.att_atc1	173.51
ana_far.ht_atc2	173.17
ana_far.statins	171.86
ana_far.ht_pa2	171.84
esa_obi.thyroid_nodules	169.38
ana_far.antiaggregants	168.21
ana_fis.b_spirits	167.49
ana_fis.b_beer	167.4
ana_far.ot_atc3	166.81
ana_pat.nephropathies_profile	165.5
ana_pat.thyroid_function	163.87
ana_pat.tia_profile	163.86
ana_pat.cholecystectomy	162.81
ana_pat.angina_profile	158.9
ana_pat.ns_neoplasm	157.97
ana_pat.ptca_profile	157.55
ana_pat.diabetes2_self	157.42
ana_pat.ima_profile	157.23
esa_obi.cute_xanthelasms	156.86
ana_pat.stroke_profile	155.28
esa_obi.abdomen	154.51
ana_pat.peripheral_arteriopathy	151.9
ana_pat.remote_peripheral_arteriopathy	151.66
esa_obi.peripheral_arterial_wrists	149.7
ana_pat.nephropathies_yn	148.8
ana_pat.ischaemia_silent_profile	147.49
ana_pat.chd_profile	147.17
ana_pat.angina	145.38
ana_pat.remote_angina	145.38
esa_obi.extremities	145.29
ana_far.ot_atc4	144.77
ana_pat.profile_bypass	144.38
ana_pat.venous_thrombosis	144.22
ana_pat.arrhythmia	141.46
esa_obi.cute_oedemas	139.59
ana_pat.steatosis_yn	138.69
esa_obi.respiratory_system	135.04
ana_far.fibers	133.62
ana_pat.ima	132.47
ana_pat.remote_ima	132.36
ana_pat.remote_stroke	132.33
ana_pat.strokes	131.49
ana_far.ht_pa3	131.25
ana_far.ht_atc3	131.2
ana_far.dm_pa1	131.14
ana_far.dm_atc1	130.9
ana_pat.atrial_fibrillation	130.35
ana_pat.tia	128.81
ana_pat.remote_tia	128.68
ana_far.antidiabetics	126.84
ana_pat.remote_bypass	125.24
ana_pat.bypass	125.1
ana_pat.aortic_arteriopathy	124.45
ana_pat.remote_aortic_arteriopathy	124.39
ana_pat.silent_ischaemia	118.95
ana_pat.remote_silent_ischemia	118.56
ana_far.dys_atc2	115.06
ana_far.dys_pa2	114.41
ana_far.ot_atc5	114.35
ana_pat.ptca	113.24
ana_pat.remote_ptca	113.09
ana_pat.copd	110.48
ana_pat.pancreatopathy_yn	109.71
ana.visits_carried_out	109.26
esa_obi.skin_hematomas	107.55
ana_far.ot_atc6	106.53
ana_pat.cerebral_hemorrhage	104.52
ana_pat.imbalance	104.39
ana_pat.chd	104.01
ana_pat.remote_decompensation	103.91
esa_obi.pale_skin	103.45
ana_pat.remote_chd	103.42
ana_far.att_pa2	103.25
ana_far.att_atc2	103.08
ana_pat.ivs	99.25
esa_obi.cute_xanthomas	98.29
ana_far.dm_atc2	94.05
ana_far.dm_pa2	93.85
ana_pat.diabetes1_self	92.79
ana.standardised_visits	92.38
ana_fis.abortion_n	91.38
esa_obi.skin_infections	90.87
ana_far.dm_atc3	90.69
ana_fis.completed_pregnancies	90.38
ana_far.dm_pa3	89.94
