feature	score_7
ult_tsa.imt_cc_average_left	220.65
ult_tsa.imt_cc_average_right	219.25
ult_tsa.imt_cc_max_left	218.89
ult_tsa.imt_cc_max_right	218.15
esa_obi.waist	217.75
esa_obi.bmi_calc	216.04
ana_fis.menopause	214.8
lab.tg	213.09
esa_obi.weight	212.98
lab.calculated_ldl	212.67
esa_obi.height	211.35
lab.glucose	209.98
ana_fis.menarche	208.53
lab.apob	208.38
lab.hdl	207.2
lab.apoa1	205.04
esa_obi.waist_hips_calc	204.61
esa_obi.heart_rate	203.24
ana_fis.b_wine	202.19
ana_fis.induced_menopause	202.14
ana_fis.smoking_recod	201.96
esa_obi.hips	200.23
ana_fis.pregnancies_n	199.84
esa_obi.dbp	198.3
ana.education	197.74
ana_far.ot_atc1	195.69
ana_fis.physical_activity_hours	194.73
ana_fis.alcohols	192.91
ana_pat.self_dyslipidaemia	192.81
ana_far.ht_atc1	192.45
ana_far.ht_pa1	192.17
ana_fis.physical_activity_intensity	190.24
ana_fis.physical_activity	188.92
ana_far.ns_drugs	187.93
ana_pat.hypertension_self	186.34
ana_far.antihypertensive	184.64
ult_tsa.right_plaque_yn	184.4
ana_far.dys_pa1	183.69
esa_obi.thyroid_appearance	183.57
esa_obi.right_corneal_arch	181.8
esa_obi.left_corneal_arch	180.94
ana_far.dys_atc1	180.69
ana_far.ot_atc2	180.55
ana_pat.self_obesity	177.64
ult_tsa.left_plaque_yn	176.28
ana_far.att_atc1	175
ana_far.att_pa1	174.69
ana_pat.hepatopathies_yn	174.69
ana_far.statins	173.59
ana_far.ht_atc2	171.26
ana_far.antiaggregants	171.25
ana_far.ht_pa2	169.76
ana_fis.b_spirits	168.69
esa_obi.thyroid_nodules	168.46
ana_fis.b_beer	168.28
ana_far.ot_atc3	165.48
ana_pat.tia_profile	164.23
ana_pat.cholecystectomy	163.65
ana_pat.thyroid_function	162.15
ana_pat.nephropathies_profile	161.82
esa_obi.abdomen	159.41
ana_pat.angina_profile	159.32
ana_pat.ptca_profile	158.07
ana_pat.ns_neoplasm	158.03
ana_pat.diabetes2_self	156.46
ana_pat.remote_peripheral_arteriopathy	155.85
ana_pat.peripheral_arteriopathy	155.7
esa_obi.cute_xanthelasms	154.86
ana_pat.stroke_profile	151.57
ana_pat.ima_profile	150.82
esa_obi.cute_oedemas	150.58
esa_obi.peripheral_arterial_wrists	149.61
esa_obi.extremities	148.47
ana_pat.nephropathies_yn	147.26
ana_pat.arrhythmia	146.22
ana_pat.remote_angina	145.34
ana_pat.angina	145.3
ana_pat.ischaemia_silent_profile	142.65
