feature	score_11
ult_tsa.imt_cc_average_left	220.6
ult_tsa.imt_cc_average_right	219.57
ult_tsa.imt_cc_max_left	218.82
ult_tsa.imt_cc_max_right	218.68
esa_obi.waist	216.99
esa_obi.bmi_calc	216.28
lab.calculated_ldl	214.13
lab.tg	213.74
esa_obi.weight	213.22
lab.glucose	212.28
esa_obi.height	211.64
lab.hdl	209.27
lab.apob	208.93
ana_fis.menopause	208.73
lab.apoa1	206.99
esa_obi.heart_rate	205.57
ana_fis.menarche	205.26
esa_obi.waist_hips_calc	203.84
ana_fis.b_wine	202.71
ana_fis.smoking_recod	201.61
esa_obi.dbp	200.6
esa_obi.hips	200.48
ana.education	198.93
ana_fis.pregnancies_n	198.74
ana_fis.induced_menopause	197.38
ana_far.ot_atc1	195.85
ana_fis.physical_activity_hours	195.08
ana_fis.alcohols	193.76
ana_pat.self_dyslipidaemia	192.47
ana_far.ht_atc1	191.81
ana_far.ht_pa1	191.2
ana_fis.physical_activity_intensity	190.84
ana_fis.physical_activity	189
ana_far.ns_drugs	187.99
ana_pat.hypertension_self	185.59
ult_tsa.right_plaque_yn	185.33
esa_obi.thyroid_appearance	184.11
ana_far.ot_atc2	183.74
esa_obi.right_corneal_arch	183.33
ana_far.antihypertensive	182.4
esa_obi.left_corneal_arch	182.21
ana_far.dys_pa1	180.8
ana_far.dys_atc1	179.14
ana_pat.self_obesity	177.72
ult_tsa.left_plaque_yn	176.93
ana_pat.hepatopathies_yn	175.34
ana_far.att_pa1	174.5
ana_far.att_atc1	174.39
ana_far.ht_atc2	172.53
ana_far.statins	171.59
ana_far.ht_pa2	170.73
ana_far.antiaggregants	169.32
esa_obi.thyroid_nodules	169.04
ana_fis.b_beer	168.47
ana_fis.b_spirits	166.86
ana_far.ot_atc3	166.27
ana_pat.nephropathies_profile	165.66
ana_pat.tia_profile	164.56
ana_pat.thyroid_function	163.9
ana_pat.cholecystectomy	162.09
ana_pat.angina_profile	160.29
esa_obi.cute_xanthelasms	158.43
ana_pat.ptca_profile	157.93
ana_pat.diabetes2_self	156.62
esa_obi.abdomen	156.18
ana_pat.ima_profile	155.92
ana_pat.stroke_profile	155.26
ana_pat.ns_neoplasm	153.17
ana_pat.nephropathies_yn	151.55
ana_pat.remote_peripheral_arteriopathy	151.45
ana_pat.peripheral_arteriopathy	151.12
esa_obi.peripheral_arterial_wrists	149.33
ana_pat.ischaemia_silent_profile	147.11
ana_pat.remote_angina	146.97
ana_pat.angina	146.83
ana_pat.venous_thrombosis	144.78
ana_pat.profile_bypass	144.73
ana_pat.arrhythmia	144.34
ana_pat.chd_profile	143.6
esa_obi.extremities	142.74
ana_far.ot_atc4	141.67
esa_obi.cute_oedemas	141.45
ana_pat.steatosis_yn	140.59
esa_obi.respiratory_system	136.29
ana_pat.remote_ima	133.38
ana_pat.ima	133.31
ana_far.fibers	133.06
ana_pat.atrial_fibrillation	132.7
ana_pat.tia	131.09
ana_pat.remote_tia	130.99
ana_far.ht_pa3	129.65
ana_far.ht_atc3	129.42
ana_far.dm_pa1	129.21
ana_pat.remote_stroke	128.34
ana_pat.strokes	127.62
ana_far.dm_atc1	127.54
ana_pat.aortic_arteriopathy	126.21
ana_pat.remote_aortic_arteriopathy	126.12
ana_pat.remote_bypass	125.98
ana_pat.bypass	125.64
ana_far.antidiabetics	125.18
ana_pat.silent_ischaemia	119.92
ana_pat.remote_silent_ischemia	119.37
ana_far.dys_atc2	115.4
ana_far.ot_atc5	114.92
ana_far.dys_pa2	114.86
ana_pat.remote_ptca	112.25
ana_pat.ptca	112.16
ana_pat.copd	111.43
ana_pat.pancreatopathy_yn	111.25
esa_obi.skin_hematomas	109.39
ana.visits_carried_out	108.49
ana_far.ot_atc6	105.86
ana_pat.chd	105.19
