feature	score_9
ult_tsa.imt_cc_average_left	220.7
ult_tsa.imt_cc_average_right	219.41
ult_tsa.imt_cc_max_left	218.85
ult_tsa.imt_cc_max_right	218.66
esa_obi.waist	217.13
esa_obi.bmi_calc	216.12
lab.calculated_ldl	213.91
lab.tg	213.63
esa_obi.weight	213.37
lab.glucose	212.49
esa_obi.height	211.48
ana_fis.menopause	209.65
lab.apob	208.84
lab.hdl	208.72
lab.apoa1	206.64
ana_fis.menarche	205.96
esa_obi.heart_rate	205.03
esa_obi.waist_hips_calc	203.99
ana_fis.b_wine	202.23
ana_fis.smoking_recod	201.72
esa_obi.hips	200.59
esa_obi.dbp	199.59
ana_fis.pregnancies_n	199.5
ana.education	198.53
ana_fis.induced_menopause	198.26
ana_far.ot_atc1	195.87
ana_fis.physical_activity_hours	194.96
ana_fis.alcohols	193.55
ana_pat.self_dyslipidaemia	192.87
ana_far.ht_atc1	191.61
ana_far.ht_pa1	191.39
ana_fis.physical_activity_intensity	190.75
ana_fis.physical_activity	189
ana_far.ns_drugs	187.98
ana_pat.hypertension_self	185.52
ult_tsa.right_plaque_yn	185.05
esa_obi.thyroid_appearance	184.21
esa_obi.right_corneal_arch	183.41
ana_far.antihypertensive	182.77
ana_far.ot_atc2	182.5
esa_obi.left_corneal_arch	182.43
ana_far.dys_pa1	181.53
ana_far.dys_atc1	179.2
ana_pat.self_obesity	177.67
ult_tsa.left_plaque_yn	177.32
ana_far.att_atc1	174.84
ana_far.att_pa1	174.68
ana_pat.hepatopathies_yn	174.45
ana_far.statins	173.04
ana_far.ht_atc2	171.36
ana_far.antiaggregants	170.17
ana_far.ht_pa2	169.74
esa_obi.thyroid_nodules	168.76
ana_fis.b_beer	168.5
ana_far.ot_atc3	167.54
ana_fis.b_spirits	167.33
ana_pat.nephropathies_profile	164.68
ana_pat.thyroid_function	163.82
ana_pat.tia_profile	163.07
ana_pat.cholecystectomy	162.38
ana_pat.angina_profile	161.22
esa_obi.abdomen	157.38
esa_obi.cute_xanthelasms	157.28
ana_pat.ptca_profile	156.4
ana_pat.diabetes2_self	156.08
ana_pat.ns_neoplasm	155.5
ana_pat.remote_peripheral_arteriopathy	153.5
esa_obi.peripheral_arterial_wrists	153.42
ana_pat.peripheral_arteriopathy	152.67
ana_pat.ima_profile	152.18
ana_pat.stroke_profile	151.45
ana_pat.ischaemia_silent_profile	148.56
ana_pat.nephropathies_yn	148.12
ana_pat.arrhythmia	146.82
ana_pat.remote_angina	145.71
ana_pat.angina	145.42
ana_pat.profile_bypass	145.09
esa_obi.cute_oedemas	144.62
esa_obi.extremities	143.55
ana_pat.venous_thrombosis	143.47
